iter	Passed	Remaining
400	26429	105387
401	26495	105324
402	26560	105253
403	26625	105185
404	26692	105123
405	26760	105064
406	26828	105005
407	26893	104937
408	26958	104869
409	27026	104809
410	27090	104735
411	27152	104654
412	27221	104600
413	27289	104541
414	27356	104482
415	27426	104431
416	27494	104372
417	27564	104322
418	27629	104251
419	27696	104190
420	27762	104125
421	27824	104045
422	27889	103974
423	27957	103919
424	28025	103858
425	28093	103800
426	28159	103733
427	28229	103683
428	28296	103622
429	28362	103557
430	28432	103505
431	28498	103439
432	28560	103359
433	28626	103292
434	28687	103209
435	28751	103135
436	28818	103074
437	28882	103001
438	28951	102944
439	29020	102892
440	29084	102819
441	29154	102765
442	29215	102683
443	29279	102608
444	29343	102537
445	29410	102474
446	29476	102408
447	29537	102325
448	29605	102267
449	29672	102206
450	29739	102141
451	29808	102087
452	29872	102015
453	29938	101947
454	30011	101906
455	30073	101828
456	30141	101768
457	30203	101688
458	30267	101617
459	30333	101552
460	30400	101488
461	30469	101434
462	30537	101372
463	30605	101314
464	30674	101259
465	30740	101191
466	30806	101127
467	30871	101058
468	30938	100996
469	31006	100935
470	31070	100863
471	31141	100813
472	31208	100750
473	31275	100688
474	31344	100631
475	31407	100556
476	31476	100500
477	31540	100428
478	31607	100366
479	31672	100294
480	31740	100237
481	31806	100170
482	31878	100122
483	31939	100042
484	32005	99975
485	32072	99913
486	32136	99840
487	32199	99764
488	32265	99700
489	32333	99640
490	32402	99582
491	32472	99528
492	32541	99471
493	32604	99397
494	32668	99326
495	32733	99257
496	32799	99190
497	32871	99141
498	32937	99075
499	33001	99003
500	33067	98938
501	33134	98874
502	33198	98803
503	33261	98730
504	33332	98676
505	33397	98608
506	33464	98546
507	33532	98483
508	33600	98423
509	33667	98362
510	33732	98291
511	33797	98223
512	33865	98162
513	33928	98088
514	34001	98043
515	34067	97976
516	34136	97919
517	34200	97849
518	34270	97792
519	34333	97719
520	34402	97661
521	34465	97586
522	34535	97531
523	34603	97471
524	34674	97418
525	34743	97362
526	34807	97288
527	34875	97228
528	34943	97166
529	35009	97102
530	35080	97049
531	35140	96967
532	35206	96900
533	35271	96832
534	35346	96789
535	35449	96825
536	35519	96768
537	35589	96712
538	35662	96664
539	35735	96619
540	35804	96560
541	35870	96493
542	35939	96433
543	36012	96387
544	36087	96344
545	36162	96301
546	36230	96238
547	36300	96183
548	36369	96123
549	36436	96059
550	36508	96008
551	36578	95952
552	36647	95894
553	36716	95834
554	36788	95781
555	36851	95706
556	36927	95666
557	36998	95611
558	37071	95564
559	37137	95495
560	37208	95440
561	37278	95386
562	37348	95329
563	37420	95276
564	37488	95214
565	37561	95165
566	37634	95115
567	37701	95049
568	37770	94991
569	37844	94942
570	37914	94884
571	37986	94834
572	38063	94794
573	38141	94754
574	38209	94692
575	38279	94634
576	38349	94578
577	38424	94532
578	38494	94474
579	38563	94414
580	38640	94372
581	38711	94317
582	38781	94260
583	38852	94204
584	38920	94140
585	38990	94081
586	39066	94037
587	39142	93995
588	39211	93935
589	39282	93878
590	39350	93816
591	39420	93755
592	39486	93688
593	39558	93634
594	39626	93571
595	39697	93514
596	39771	93466
597	39842	93410
598	39914	93356
599	39986	93302
600	40060	93251
601	40132	93198
602	40204	93144
603	40277	93092
604	40351	93042
605	40421	92981
606	40492	92925
607	40562	92865
608	40632	92808
609	40703	92751
610	40772	92689
611	40842	92628
612	40907	92559
613	40975	92496
614	41046	92437
615	41118	92383
616	41188	92323
617	41258	92263
618	41327	92202
619	41398	92145
620	41466	92081
621	41533	92014
622	41601	91949
623	41668	91885
624	41737	91822
625	41808	91765
626	41873	91693
627	41941	91629
628	42004	91555
629	42068	91482
630	42138	91421
631	42200	91345
632	42270	91285
633	42339	91224
634	42406	91157
635	42478	91102
636	42542	91029
637	42612	90969
638	42677	90897
639	42746	90835
640	42811	90766
641	42876	90695
642	42940	90621
643	43032	90608
644	43100	90544
645	43168	90479
646	43237	90418
647	43304	90351
648	43370	90281
649	43435	90211
650	43500	90141
651	43569	90079
652	43634	90009
653	43702	89944
654	43771	89881
655	43839	89818
656	43903	89744
657	43968	89674
658	44037	89611
659	44104	89544
660	44173	89483
661	44236	89408
662	44306	89348
663	44376	89288
664	44444	89223
665	44515	89164
666	44577	89087
667	44650	89032
668	44718	88969
669	44784	88900
670	44849	88829
671	44918	88767
672	44986	88702
673	45049	88628
674	45116	88561
675	45183	88496
676	45252	88432
677	45322	88372
678	45392	88311
679	45459	88245
680	45525	88177
681	45588	88102
682	45656	88036
683	45724	87973
684	45795	87913
685	45862	87846
686	45930	87782
687	45999	87720
688	46065	87651
689	46134	87589
690	46199	87518
691	46263	87445
692	46334	87387
693	46404	87325
694	46471	87260
695	46542	87199
696	46607	87129
697	46669	87054
698	46736	86987
699	46801	86917
700	46869	86851
701	46939	86790
702	47005	86722
703	47068	86649
704	47142	86594
705	47211	86531
706	47281	86470
707	47343	86395
708	47414	86336
709	47481	86268
710	47550	86205
711	47617	86139
712	47685	86074
713	47752	86008
714	47821	85944
715	47890	85882
716	47956	85813
717	48023	85747
718	48092	85683
719	48157	85613
720	48225	85548
721	48290	85478
722	48357	85410
723	48426	85348
724	48494	85283
725	48560	85214
726	48628	85150
727	48696	85085
728	48761	85014
729	48825	84942
730	48890	84872
731	48956	84804
732	49027	84743
733	49093	84676
734	49161	84610
735	49231	84549
736	49298	84482
737	49368	84421
738	49438	84359
739	49503	84289
740	49569	84221
741	49637	84155
742	49702	84086
743	49770	84020
744	49833	83948
745	49904	83888
746	49967	83814
747	50033	83746
748	50100	83678
749	50168	83614
750	50233	83544
751	50297	83473
752	50366	83408
753	50432	83340
754	50503	83279
755	50567	83208
756	50635	83144
757	50706	83084
758	50770	83012
759	50836	82944
760	50904	82878
761	50969	82809
762	51038	82744
763	51103	82675
764	51173	82613
765	51241	82548
766	51307	82480
767	51374	82412
768	51442	82347
769	51513	82287
770	51581	82221
771	51649	82157
772	51715	82088
